"Log((9.758476681748524e58) + (((2.73055946449013e58) * (Id((((x2)^(1)) * ((x0)^(0))) * ((x4)^(0))))) + (((-3.805619774760011e54) * (Id((x0)^(1)))) + ((-3.1065160991485623e60) * (Tanh((x3)^(-1)))))))","[[9.758476681748524e58,2.73055946449013e58,-3.805619774760011e54,-3.1065160991485623e60]]","np.log((9.758476681748524e58) + (((2.73055946449013e58) * (((((x[:,2])**(1)) * ((x[:,0])**(0))) * ((x[:,4])**(0))))) + (((-3.805619774760011e54) * (((x[:,0])**(1)))) + ((-3.1065160991485623e60) * (np.tanh((x[:,3])**(-1)))))))"
"Id((126.50042375930174) + ((-167.67784067226688) * (Tanh(((x4)^(1)) * ((x3)^(0))))))","[[126.50042375930174,-167.67784067226688]]","((126.50042375930174) + ((-167.67784067226688) * (np.tanh(((x[:,4])**(1)) * ((x[:,3])**(0))))))"
"Log(2.349382390564392e58)","[[2.349382390564392e58]]","np.log(2.349382390564392e58)"
"Id(124.61966222961726)","[[124.61966222961726]]","(124.61966222961726)"
"Id((124.0811882007792) + ((102.10054537984055) * (Id(((((x0)^(-1)) * ((x3)^(-1))) * ((x2)^(0))) * ((x4)^(-1))))))","[[124.0811882007792,102.10054537984055]]","((124.0811882007792) + ((102.10054537984055) * ((((((x[:,0])**(-1)) * ((x[:,3])**(-1))) * ((x[:,2])**(0))) * ((x[:,4])**(-1))))))"
"Id(124.61966222961726)","[[124.61966222961726]]","(124.61966222961726)"
"Id(124.61966222961726)","[[124.61966222961726]]","(124.61966222961726)"
"Id((124.08032270059024) + ((102.28622973123204) * (Tanh(((((x4)^(-1)) * ((x2)^(0))) * ((x3)^(-1))) * ((x0)^(-1))))))","[[124.08032270059024,102.28622973123204]]","((124.08032270059024) + ((102.28622973123204) * (np.tanh(((((x[:,4])**(-1)) * ((x[:,2])**(0))) * ((x[:,3])**(-1))) * ((x[:,0])**(-1))))))"
"Id(124.61966222961726)","[[124.61966222961726]]","(124.61966222961726)"
"Id((62.30983111480863) + ((62.30983111480863) * (Tanh(((((x2)^(1)) * ((x1)^(0))) * ((x0)^(1))) * ((x3)^(1))))))","[[62.30983111480863,62.30983111480863]]","((62.30983111480863) + ((62.30983111480863) * (np.tanh(((((x[:,2])**(1)) * ((x[:,1])**(0))) * ((x[:,0])**(1))) * ((x[:,3])**(1))))))"
"Id(124.61966222961726)","[[124.61966222961726]]","(124.61966222961726)"
"Id(124.61966222961726)","[[124.61966222961726]]","(124.61966222961726)"
"Id(124.61966222961726)","[[124.61966222961726]]","(124.61966222961726)"
"Exp((4.813923244389094) + ((9.126210748286155) * (Tanh((((((x4)^(0)) * ((x1)^(0))) * ((x3)^(0))) * ((x0)^(-1))) * ((x2)^(0))))))","[[4.813923244389094,9.126210748286155]]","np.exp((4.813923244389094) + ((9.126210748286155) * (np.tanh((((((x[:,4])**(0)) * ((x[:,1])**(0))) * ((x[:,3])**(0))) * ((x[:,0])**(-1))) * ((x[:,2])**(0))))))"
"Exp((4.812889815546494) + (((13.67210279583106) * (Tanh(((x4)^(0)) * ((x0)^(-1))))) + ((-109682.03390871802) * (Id(((((x2)^(1)) * ((x0)^(-1))) * ((x3)^(-1))) * ((x4)^(1)))))))","[[4.812889815546494,13.67210279583106,-109682.03390871802]]","np.exp((4.812889815546494) + (((13.67210279583106) * (np.tanh(((x[:,4])**(0)) * ((x[:,0])**(-1))))) + ((-109682.03390871802) * ((((((x[:,2])**(1)) * ((x[:,0])**(-1))) * ((x[:,3])**(-1))) * ((x[:,4])**(1)))))))"
